iter	Passed	Remaining
0	0	295
1	0	292
2	0	298
3	1	288
4	1	281
5	1	279
6	1	273
7	2	273
8	2	269
9	2	270
10	2	269
11	3	267
12	3	267
13	3	267
14	4	268
15	4	269
16	4	269
17	4	268
18	5	269
19	5	268
20	5	268
21	6	291
22	6	289
23	7	287
24	7	285
25	7	284
26	7	282
27	8	280
28	8	278
29	9	307
30	12	395
31	14	431
32	15	464
33	18	518
34	19	528
35	20	562
36	22	582
37	23	597
38	24	598
39	24	591
40	25	586
41	25	579
42	25	571
43	25	564
44	26	559
45	26	552
46	26	546
47	27	540
48	27	533
49	27	527
50	28	521
51	28	516
52	28	511
53	28	505
54	29	501
55	29	496
56	29	492
57	30	487
58	30	483
59	30	479
60	30	475
61	31	471
62	31	469
63	31	466
64	32	463
65	32	459
66	32	456
67	33	453
68	33	450
69	33	447
70	34	445
71	34	441
72	34	438
73	34	435
74	35	433
75	35	430
76	35	428
77	36	425
78	36	423
79	36	421
80	36	418
81	37	416
82	37	414
83	37	411
84	38	409
85	38	406
86	38	404
87	38	402
88	39	400
89	39	398
90	39	396
91	39	394
92	40	393
93	40	391
94	40	389
95	41	387
96	41	386
97	41	384
98	42	382
99	42	380
100	42	379
101	42	377
102	43	375
103	43	373
104	43	372
105	43	370
106	44	368
107	44	366
108	44	364
109	44	363
110	45	361
111	45	360
112	45	359
113	46	357
114	46	356
115	46	355
116	47	354
117	47	354
118	47	352
119	47	351
120	48	350
121	48	349
122	49	350
123	49	349
124	49	348
125	50	347
126	50	346
127	50	345
128	50	344
129	51	342
130	51	342
131	51	340
132	52	339
133	52	338
134	52	337
135	52	336
136	53	335
137	53	334
138	53	333
139	54	332
140	54	331
141	54	330
142	54	329
143	55	328
144	55	327
145	55	326
146	56	325
147	56	324
148	56	323
149	57	323
150	57	322
151	57	320
152	57	319
153	58	318
154	58	317
155	58	316
156	58	315
157	59	314
158	59	313
159	59	312
160	59	311
161	60	310
162	60	309
163	60	309
164	60	308
165	61	307
166	61	306
167	61	305
168	61	304
169	62	303
170	62	302
171	62	301
172	62	300
173	63	299
174	63	299
175	63	298
176	63	297
177	64	296
178	64	295
179	64	294
180	64	293
181	65	293
182	65	292
183	65	291
184	65	290
185	66	289
186	66	289
187	66	288
188	67	287
189	67	286
190	67	286
191	67	285
192	68	284
193	68	283
194	68	283
195	68	282
196	69	281
197	69	280
198	69	280
199	69	279
200	70	278
201	70	278
202	70	277
203	70	276
204	71	276
205	71	275
206	71	274
207	72	274
208	72	273
209	72	272
210	72	272
211	73	271
212	73	270
213	73	270
214	73	269
215	74	268
216	74	268
217	74	267
218	74	267
219	75	266
220	75	266
221	75	266
222	76	265
223	76	265
224	76	264
225	77	264
226	77	263
227	77	263
228	78	262
229	78	262
230	78	262
231	79	261
232	79	261
233	79	261
234	80	260
235	80	260
236	80	259
237	80	258
238	81	258
239	81	257
240	81	257
241	82	256
242	82	256
243	82	255
244	82	255
245	83	254
246	83	254
247	83	253
248	83	253
249	84	252
250	84	252
251	84	251
252	85	250
253	85	250
254	85	249
255	85	249
256	86	248
257	86	248
258	86	247
259	86	247
260	87	246
261	87	245
262	87	245
263	87	244
264	88	244
265	88	243
266	88	243
267	88	242
268	89	242
269	89	241
270	89	241
271	89	240
272	90	240
273	90	239
274	90	238
275	90	238
276	91	237
277	91	237
278	91	236
279	91	236
280	92	235
281	92	235
282	92	234
283	92	234
284	93	233
285	93	233
286	93	232
287	93	232
288	94	231
289	94	231
290	94	230
291	94	229
292	95	229
293	95	228
294	95	228
295	95	227
296	96	227
297	96	226
298	96	226
299	96	225
300	97	225
301	97	224
302	97	224
303	97	223
304	98	223
305	98	222
306	98	222
307	98	222
308	99	221
309	99	221
310	99	220
311	99	220
312	100	219
313	100	219
314	100	218
315	100	218
316	101	217
317	101	217
318	101	216
319	101	216
320	102	215
321	102	215
322	102	215
323	102	214
324	103	214
325	103	213
326	103	213
327	103	212
328	104	212
329	104	211
330	104	211
331	104	211
332	105	210
333	105	210
334	105	209
335	105	209
336	106	208
337	106	208
338	106	208
339	106	207
340	107	207
341	107	206
342	107	206
343	107	205
344	108	205
345	108	205
346	108	204
347	109	204
348	109	203
349	109	203
350	109	202
351	110	202
352	110	202
353	110	201
354	110	201
355	111	200
356	111	200
357	111	200
358	111	199
359	112	199
360	112	198
361	112	198
362	112	198
363	113	197
364	113	197
365	113	196
366	113	196
367	114	196
368	114	195
369	114	195
370	114	194
371	115	194
372	115	194
373	115	193
374	115	193
375	116	192
376	116	192
377	116	192
378	117	191
379	117	191
380	117	190
381	117	190
382	118	190
383	118	189
384	118	189
385	118	189
386	119	188
387	119	188
388	119	187
389	119	187
390	120	187
391	120	186
392	120	186
393	121	186
394	121	185
395	121	185
396	121	185
397	122	184
398	122	184
399	122	184
400	123	183
401	123	183
402	123	183
403	124	183
404	124	182
405	124	182
406	124	182
407	125	181
408	125	181
409	125	181
410	126	180
411	126	180
412	126	180
413	126	179
414	127	179
415	127	178
416	127	178
417	128	178
418	128	177
419	128	177
420	128	177
421	129	176
422	129	176
423	129	175
424	129	175
425	130	175
426	130	174
427	130	174
428	130	174
429	131	173
430	131	173
431	131	173
432	131	172
433	132	172
434	132	171
435	132	171
436	132	171
437	133	170
438	133	170
439	133	170
440	133	169
441	134	169
442	134	169
443	134	168
444	134	168
445	135	167
446	135	167
447	135	167
448	135	166
449	136	166
450	136	166
451	136	165
452	136	165
453	137	165
454	137	164
455	137	164
456	137	163
457	138	163
458	138	163
459	138	162
460	138	162
461	139	162
462	139	161
463	139	161
464	140	161
465	140	160
466	140	160
467	140	160
468	141	159
469	141	159
470	141	158
471	141	158
472	142	158
473	142	157
474	142	157
475	142	157
476	143	156
477	143	156
478	143	156
479	143	155
480	144	155
481	144	155
482	144	154
483	144	154
484	145	154
485	145	153
486	145	153
487	145	153
488	146	152
489	146	152
